"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22p","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"C3","1","470uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"C4,C7","2","0.1uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"C5","1","0.5uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"C6,Cir_in1","2","10uF","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~"
"Caref1","1","10n","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"Cavcc1,Creset1","2","0.1u","","","","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",""
"D1","1","SS14","","","","Diode_THT:D_A-405_P12.70mm_Horizontal","https://www.vishay.com/docs/88746/ss12.pdf"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.7mm_Pad","~"
"ISP1","1","AVR-ISP-6","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J1","1","TB6600 CONTROL","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-6_1x06_P5.00mm_Horizontal","~"
"J3","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~"
"J4","1","IR_OUTPUT","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"J5","1","TB6600 POWER","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J6","1","IR_INPUT","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"Jst1,Jst2,Jst3,Jst4,Jst5,Jst6,Jst7,Jst8","8","SM04B-SRSS-TB","","","","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",""
"MUX1","1","TCA9548APWR","","","","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tca9548a.pdf"
"R5,Rssbutton1","2","10K","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"Rir_in1","1","1K","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"Rresetmcu1,Rresetmux1","2","10k","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"Rscl1,Rsda1","2","4.7k","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","ATmega328-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","PTC_FUSE","","","","Fuse:PTC_FUSE",""
"U4","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-4H_Vertical","~"
